County,Weather Station,Zip Code,Elev. (feet),Average Annual Minimum Temperature (°F),Absolute Minimum (°F),Average and Minimum Hardiness Zones,Years of Data
Beaver,Beaver Canyon Pwr House,84713,7275,-7.6,-16.6,"Zones 6a, 5a",22
Beaver,Big Flat,72617,10349,-11.2,-23.8,"Zones 5b, 4b",30
Beaver,Brimstone Res. - Milford 20WSW,84751,5620,-0.4,-11.2,"Zones 6b, 5b",30
Beaver,Merchant Valley,15003,8703,-11.2,-27.4,"Zones 5b, 4a",29
Beaver,Milford Muni AP,84751,5040,-13,-34.6,"Zones 5b, 3b",29
Box Elder,Brigham City Waste Plt,84302,4230,-4,-25.6,"Zones 6b, 4a",30
Box Elder,Cutler Dam,84304,4290,-2.2,-18.4,"Zones 6b, 5a",30
Box Elder,Rosette,84329,5685,-5.8,-23.8,"Zones 6a, 4b",30
Box Elder,Thiokol Plant 78,84307,4600,-25.6,-25.6,"Zones 4a, 4a",20
Box Elder,Tremonton,84337,4310,3.2,-18.4,"Zones 7a, 5a",20
Box Elder,Utah Test Range,84034,4440,-4,-25.6,"Zones 6b, 4a",28
Cache,Dry Bread Pond,84317,8350,-7.6,-25.6,"Zones 6a, 4a",30
Cache,Little Bear,84328,6544,-4,-23.8,"Zones 6b, 4b",29
Cache,Logan 5 SW Exp. Farm,84321,4489,-14.8,-43.6,"Zones 5b, 2b",30
Cache,Logan Cache AP,84321,4454,-13,-31,"Zones 5b, 3b",22
Cache,Logan Radio KVNU,84321,4475,-9.4,-29.2,"Zones 6a, 4a",30
Cache,Logan Utah State Univ.,84322,4790,-2.2,-11.2,"Zones 6b, 5b",30
Cache,Monte Cristo,84341,8960,-11.2,-41.8,"Zones 5b, 2b",29
Cache,Richmond,84333,4680,-7.6,-27.4,"Zones 6a, 4a",30
Cache,Trenton,84338,4455,-9.4,-32.8,"Zones 6a, 3b",29
Carbon,Bruin Point Sunnyside 6NNE U,84520,10200,-11.2,-23.8,"Zones 5b, 4b",29
Carbon,Price Carbon Co AP,84501,5921,-2.2,-9.4,"Zones 6b, 6a",21
Carbon,Scofield Skyline Mine,84526,8697,-11.2,-22,"Zones 5b, 4b",30
Carbon,Sunnyside City Ctr,84520,6530,-0.4,-14.8,"Zones 6b, 5b",19
Daggett,Cart Creek Utah,84023,6900,-9.4,-20.2,"Zones 6a, 4b",22
Daggett,Flaming Gorge,84023,6244,-14.8,-36.4,"Zones 5b, 3a",30
Daggett,Hickerson Park,84023,9145,-22,-32.8,"Zones 4b, 3b",29
Daggett,Kings Point - Dutch John 16ESE,84023,5670,-13,-34.6,"Zones 5b, 3b",30
Daggett,Manila,84046,6393,-11.2,-22,"Zones 5b, 4b",20
Davis,Bountiful - Val Verda,84010,4540,6.8,-9.4,"Zones 7b, 6a",25
Davis,Bountiful Bench,84010,4950,3.2,-16.6,"Zones 7a, 5a",30
Davis,Farmington USU Field Stn.,84025,4380,5,-11.2,"Zones 7b, 5b",26
Duchesne,Altamont,84001,6456,-11.2,-32.8,"Zones 5b, 3b",30
Duchesne,Brown Duch,84001,10600,-16.6,-27.4,"Zones 5a, 4a",30
Duchesne,Chepeta,84053,10592,-18.4,-31,"Zones 5a, 3b",29
Duchesne,Duchesne,84021,5551,-11.2,-29.2,"Zones 5b, 4a",30
Duchesne,Five Mile Duchesne 18SSE UTA,84021,8000,-0.4,-14.8,"Zones 6b, 5b",29
Duchesne,Five Points Lake,84001,10940,-16.6,-29.2,"Zones 5a, 4a",29
Duchesne,Horse Ridge Utah,84021,8480,-4,-9.4,"Zones 6b, 6a",22
Duchesne,Indian Canyon,84021,9175,-7.6,-23.8,"Zones 6a, 4b",29
Duchesne,Lakefork Basin,84001,10966,-16.6,-25.6,"Zones 5a, 4a",27
Duchesne,Myton,84052,5082,-11.2,-27.4,"Zones 5b, 4a",30
Duchesne,Neola,84053,5950,-9.4,-25.6,"Zones 6a, 4a",30
Duchesne,Rock Creek,84073,7889,-11.2,-45.4,"Zones 5b, 2a",28
Emery,Castle Dale,84513,5629,-9.4,-27.4,"Zones 6a, 4a",30
Emery,Ferron,84523,5923,-2.2,-20.2,"Zones 6b, 4b",30
Emery,Flattop Mountain Cleveland 1,84518,6120,5,-9.4,"Zones 7b, 6a",30
Emery,Red Ridge Pine,84523,9009,-14.8,-25.6,"Zones 5b, 4a",29
Garfield,Boulder,84716,6649,3.2,-11.2,"Zones 7a, 5b",30
Garfield,Bryce Canyon Airport,84764,7585,-18.4,-31,"Zones 5a, 3b",20
Garfield,Bryce Cyn NP HQRS,84717,7915,-5.8,-23.8,"Zones 6a, 4b",30
Garfield,Escalante,84726,5810,1.4,-11.2,"Zones 7a, 5b",30
Garfield,Panguitch,84759,6647,-13,-29.2,"Zones 5b, 4a",26
Garfield,Widtsoe #3,84712,9640,-5.8,-18.4,"Zones 6a, 5a",29
Grand,Arches NP HQS,84532,4093,6.8,-4,"Zones 7b, 6b",30
Grand,Bryson Canyon Utah,84540,5320,3.2,-9.4,"Zones 7a, 6a",30
Grand,Castle Valley,84532,4725,6.8,-4,"Zones 7b, 6b",20
Grand,East Willow Creek,84540,8301,-9.4,-23.8,"Zones 6a, 4b",29
Grand,Moab,84532,4053,6.8,-5.8,"Zones 7b, 6a",30
Iron,Blowhard Mtn. Radar,84719,10694,-5.8,-20.2,"Zones 6a, 4b",17
Iron,Brian Head,84719,9770,-11.2,-18.4,"Zones 5b, 5a",19
Iron,Cedar City Muni AP,84721,5586,-7.6,-22,"Zones 6a, 4b",30
Iron,Jensen Spring Beryl 12NNE,84714,5744,1.4,-16.6,"Zones 7a, 5a",30
Iron,Kolob,84720,9206,-4,-14.8,"Zones 6b, 5b",26
Iron,Midway Valley,84719,9800,-9.4,-20.2,"Zones 6a, 4b",29
Iron,Parowan Power Plant,84761,5878,-2.2,-22,"Zones 6b, 4b",20
Juab,Callao,84083,4342,-5.8,-23.8,"Zones 6a, 4b",30
Juab,Fish Springs Refuge,84022,4357,-2.2,-18.4,"Zones 6b, 5a",27
Juab,Levan,84639,5298,-5.8,-18.4,"Zones 6a, 5a",30
Juab,Little Sahara Rec Area,84648,5230,-11.2,-32.8,"Zones 5b, 3b",30
Juab,Mud Spring Eureka 13SW Utah,84628,5760,-4,-23.8,"Zones 6b, 4b",30
Juab,Nephi,84648,5146,-4,-20.2,"Zones 6b, 4b",30
Juab,Partoun,84083,4780,-9.4,-25.6,"Zones 6a, 4a",30
Juab,Sevier Reservoir,84654,5330,-4,-23.8,"Zones 6b, 4b",30
Kane,Agua Canyon,84717,8900,-2.2,-11.2,"Zones 6b, 5b",25
Kane,Alton,84710,7098,-4,-23.8,"Zones 6b, 4b",30
Kane,Assay Hatch 10SW,84735,8100,-4,-14.8,"Zones 6b, 5b",30
Kane,Big Water,84741,4100,10.4,-2.2,"Zones 8a, 6b",29
Kane,Bullfrog Basin,84533,3822,14,-0.4,"Zones 8a, 6b",24
Kane,Harris Flat,84762,7800,-18.4,-40,"Zones 5a, 3a",29
Kane,Kanab,84741,4900,5,-11.2,"Zones 7b, 5b",30
Kane,Kodachrome Basin Park,84718,5805,-4,-22,"Zones 6b, 4b",30
Kane,Long Valley Jct,84741,7464,-4,-22,"Zones 6b, 4b",29
Kane,Orderville,84758,5460,-4,-20.2,"Zones 6b, 4b",25
Millard,Black Cedar Fillmore 5E Utah,84631,6480,-0.4,-16.6,"Zones 6b, 5a",30
Millard,Black Rock,84751,4900,-13,-36.4,"Zones 5b, 3a",30
Millard,Delta,84624,4620,-7.6,-29.2,"Zones 6a, 4a",30
Millard,Deseret,84624,4590,-7.6,-23.8,"Zones 6a, 4b",30
Millard,Eskdale,84728,4980,-11.2,-27.4,"Zones 5b, 4a",30
Millard,Fillmore,84631,5120,-0.4,-18.4,"Zones 6b, 5a",30
Millard,Horse Hollow Cove Fort 5W UT,84713,6010,-4,-25.6,"Zones 6b, 4a",30
Millard,Kanosh,84637,4382,-2.2,-20.2,"Zones, 6b, 4b",21
Millard,Pine Creek,84713,8790,-5.8,-23.8,"Zones 6a, 4b",29
Millard,Scipio,84656,5314,-14.8,-36.4,"Zones 5b, 3a",30
Millard,Tule Valley Delta 49W UT,84624,5200,5,-9.4,"Zones 7b, 6a",30
Morgan,Hardscrabble,84050,7250,-4,-13,"Zones 6b, 5b",26
Morgan,Morgan,84050,5100,-9.4,-32.8,"Zones 6a, 3b",26
Piute,Angle,84712,6410,-14.8,-32.8,"Zones 5b, 3b",30
Piute,Circleville,84723,6050,-9.4,-31,"Zones 6a, 3b",21
Piute,Kimberly Mine,84766,9129,-9.4,-25.6,"Zones 6a, 4a",29
Piute,Marysvale,84750,5845,-9.4,-34.6,"Zones 6a, 3b",25
Rich,Bug Lake,84064,7950,-11.2,-25.6,"Zones 5b, 4a",30
Rich,Laketown,84038,5980,-9.4,-27.4,"Zones 6a, 4a",30
Rich,Randolph,84064,6270,-25.6,-41.8,"Zones 4a, 2b",28
Rich,Woodruff,84086,6315,-27.4,-45.4,"Zones 4a, 2a",30
Salt Lake,Alta,84092,8730,-7.6,-25.6,"Zones 6a, 4a",29
Salt Lake,Cottonwood Weir,84117,4986,5,-11.2,"Zones 7a, 5b",30
Salt Lake,Dry Fork,84006,7093,-2.2,-9.4,"Zones 6b, 6a",25
Salt Lake,Garfield,84044,4298,8.6,-5.8,"Zones 7b, 6a",25
Salt Lake,Lookout Peak,84108,8200,-7.6,-23.8,"Zones 6a, 4b",29
Salt Lake,Mill D North,84121,8967,-5.8,-23.8,"Zones 6a, 4b",29
Salt Lake,Mountain Dell Dam,84108,5420,-4,-25.6,"Zones 6b, 4a",26
Salt Lake,Parleys Summit,84109,7500,-4,-14.8,"Zones 6b, 5b",29
Salt Lake,Salt Lake City Airport,84122,4225,1.4,-11.2,"Zones 7a, 5b",30
Salt Lake,Silver Lake Brighton,84121,8740,-13,-29.2,"Zones 5b, 4a",30
San Juan,Aneth Plant,84534,4576,6.8,-16.6,"Zones 7b, 5a",19
San Juan,Big Indian Valley Lasal 6S U,84530,6960,3.2,-9.4,"Zones 7a, 6a",30
San Juan,Blanding,84511,6032,5,-13,"Zones 7a, 5b",30
San Juan,Bluff,84512,4320,1.4,-22,"Zones 7a, 4b",30
San Juan,Camp Jackson,84535,8968,-0.4,-16.6,"Zones 6b, 5a",29
San Juan,"Canyonlands, the Neck",84532,5871,5,-9.4,"Zones 7a, 6a",30
San Juan,"Canyonlands, the Needle",84532,4906,1.4,-14.8,"Zones 7a, 5b",30
San Juan,Cedar Point,81324,6760,-2.2,-20.2,"Zones 6b, 4b",29
San Juan,Hovenweep Natl. Monu.,84534,5240,-0.4,-23.8,"Zones 6b, 4b",30
San Juan,La Sal 1SW,84530,6787,-5.8,-20.2,"Zones 6a, 4b",30
San Juan,Lasal Mountain,84532,9560,-5.8,-20.2,"Zones 6a, 4b",29
San Juan,Mexican Hat,84531,4109,6.8,-16.6,"Zones 7b, 5a",30
San Juan,Natural Bridges Natl Mon.,84533,6508,1.4,-14.8,"Zones 7a, 5b",30
Sanpete,Beaver Dams,84629,7990,-11.2,-29.2,"Zones 5b, 4a",29
